2025-06-27T08:59:43.147Z | POST /shorturls | 201 | 4ms
2025-06-27T09:00:37.096Z | GET /abcd1 | 302 | 4ms
2025-06-27T09:02:08.886Z | GET /abcd1 | 302 | 1ms
2025-06-27T09:04:35.226Z | GET /abcd1 | 302 | 1ms
2025-06-27T09:10:09.973Z | GET /abcd1 | 302 | 1ms
2025-06-27T09:12:13.306Z | POST /abcd1 | 404 | 3ms
2025-06-27T09:12:20.767Z | GET /shorturls | 404 | 0ms
2025-06-27T09:14:42.480Z | POST /shorturls | 500 | 1ms
2025-06-27T09:14:49.573Z | POST /shorturls | 500 | 3ms
2025-06-27T09:16:02.084Z | POST /shorturls | 500 | 1ms
2025-06-27T09:17:25.975Z | POST /shorturls | 409 | 0ms
2025-06-27T09:33:15.848Z | POST /shorturls | 201 | 5ms
2025-06-27T09:33:49.742Z | GET /abcd1 | 302 | 3ms
2025-06-27T09:42:17.811Z | GET / | 404 | 5ms
